text,BIO_anno,class
老铁你的提额成功了，你的坐标是多少？我授权公积金好多次都没有提。,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2
之前没额度，授权以后才有额度,O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N,2
跟你一样的界面，也是公积金。现在可以提出来了吗,O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O,2
我一直没有额度,O O O O O B-COMMENTS_N I-COMMENTS_N,2
随时有希望，等结果。没有结果就是好结果,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O,2
建行～85k冠军足球卡，公务金20k,B-BANK I-BANK O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O,2
一个活动申请一个卡，然后卖掉？我也是。以前是交银联版的，准备再报张双彪。,O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O,2
找理财经理特批,O B-PRODUCT I-PRODUCT O O O O,2
估计0开不现实，我们这儿必须要有砖,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O,2
一周后去领卡，浦发的还是很快的,O O O O O B-PRODUCT O B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
这个有啥用，好象也有一张，是信用卡么,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O,2
要放多少砖才能办这个卡,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-PRODUCT,2
正常是50，兴业的哈,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-BANK I-BANK O O,2
我是信用卡流水提交的，没砖,O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O,2
他行信用卡流水行吗？一个月要多少合适,O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2
这个也能网上申请吗，现在大部分信用卡网上都可以申请,O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O,2
xyk一年消费100k不是也可以开吗,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O,2
尾号有没有4A，浦发的卡,O O O O O O O O B-BANK I-BANK O B-PRODUCT,2
肯定没有了，我选的0808，那信用卡是怎么整,O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2
有管理费没有？浦发的的卡,O O O O O O O B-BANK I-BANK O O B-PRODUCT,2
这种储蓄卡有啥用，有没有大佬说下,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O,2
卡面跟“支付白”基本一样，喜欢这个卡面，申请个支付白最省事,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2
一周左右吧，工商的卡就是的,O O O O O O O O O B-PRODUCT O O O,2
我的建行信用卡才8个月就刷11万了，请问怎么搞理财白金卡?可以手机银行或者网银申请吗？,O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O,2
信用卡一年消费100K后怎么弄理财白金卡?,B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT I-PRODUCT O,2
我是小白，你这比较高级,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
不能了，申请的时候没有选号，通过后给你啥就是啥，不能选号了。一张附属卡可以免年费，没说期限就默认一直有这个权益吧...,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O,2
求上帝回复，如何提升额度,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
支付宝绑定贱行卡，钱转入余额宝/余利宝。余额宝快速提现限1万，卡限额单日5万。,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O,2
持有就行了，建行按日均资产算星点,O O O O O O B-BANK I-BANK O O O O O O O O,2
分期还完再申卡，然后再车贷试试。,B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT O O O,2
应该没什么问题，我浦发的就办下来了,O O O O O O O O O B-BANK I-BANK O O O O O O,2
手机pay还行吧,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O,2
以后0.38没有了？这个利率的肯定是没有了,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2
挥卡only，只留工商银行的吧,O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O O,2
我学会了，小额多刷，就可以涨额度了,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
手机付费可以吗？掌上银行很多活动哦,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O,2
貌似即使不达标星级最撇也会保持在4星？应该是的，工商的星际就保持的不错,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,1
我现在还是5星呢，已经一年多的空卡了，牛叉了,O O O O O O O O O O O O O O O O B-PRODUCT O O O O O,2
最下面不是很清楚吗？信用卡预审批额度??无,O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O,2
一般装修预审批和购车分期差不多是固额的6倍,O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2
查询78次是总共78次吗，这么多么,O O O O O O O O O O O O O O O B-COMMENTS_ADJ O,2
反正我建行没结清,O O O B-BANK I-BANK O O O,2
建行欠的多少，我也不打算结清了，钱太紧了,B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O,2
你选择建行贷款，建行是工资代发吗？,O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O B-BANK I-BANK O O O O O O O,2
那我的2万信用卡就不提前还了,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O,2
谢谢分享，我在看二手房。你选择建行贷款。,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O,2
不是，是新开的卡，和建行没有交集,O O O O O O O B-PRODUCT O O B-BANK I-BANK O O O O,2
工行3k-50k,B-BANK I-BANK O O O O O O,2
起码小贷要结清吧,O O B-PRODUCT I-PRODUCT O O O O,2
建行5k→10k（20/6/6首提）,B-BANK I-BANK O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
楼主，解决了吗？我的跟你一样，好操心,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
前几天打了征信，白条，花呗没上，微粒贷上了,O O O O O B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT I-PRODUCT O O,2
我就是单位统一办理的，拒了,O O O O O O O O O O O B-COMMENTS_ADJ O,2
基本解决了。6月底申请了一个50成本卡，down卡,O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT,2
确实，白条，花圃，贷款没去征信。?网商贷款，小额信贷,O O O B-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT O O B-PRODUCT I-PRODUCT O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O,2
直接刷爆，最后提了8k。。。兴业的就这么操作,O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O,2
给了临时就离固定额度不远了，不要用临时额度，等3个月。就可以提额。,O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
嗯，多刷卡多水，上个月40-50，最近,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O,2
其实临时额度和永久额度的区别就在于临时额度有时间,O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O,2
如果临时给的话，离固定额度不远。不要用临时额度，等3,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O,2
除了这两种方式，还有什么办法能够开通快贷吗？,O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O,2
这些要怎么提交？线下找客户经理提交？有点难哦,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O,0
非常诧异为啥010地区不能选公积金。。,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O O,2
你有砖头和公积金线下试试,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2
也算是2天吧。早上申请下午打得电话！让后隔天早上通过工商银行的哦,O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O O,2
查征信不用一秒，如果网络够快,O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
我半年内就一个查询，今天本来想申请的，还是没敢申，怕过不了，好难,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
我反正最近几个月点的提额都是无征信拒,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ,2
我也是，秒拒，昨天刚点的，还选卡号选了半天，然后保护费芭比娃娃什么的全选了，还以为选了保护费还能有点机会，结果刚点完申请，还没退出手机银行，短信就来了直接秒拒...,O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O,2
估计信用信息还没查，这个浦发效率有点低压,O O O O O O O O O O O O B-BANK I-BANK O O O O B-COMMENTS_ADJ O,0
我没试过，有坛友试过，好像是一样的，货币基金产品是1万100点,O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O,2
请问这种鸡怎么截屏的啊，完全搞不懂，心累,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
申卡不是100%，所以也不要掉以轻心,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,0
应该会给你一张卡，然后自己去看下额度怎么样,O O O O O O O B-PRODUCT O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2
装修贷可以网申？不需要上门拍毛坯之类的吗,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O,2
无卡通道是什么，怎么申请的，我也想搞，不知道在哪里，心累啊,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
App网申的吗？招行好不好申请,O O O O O O O O B-BANK I-BANK O O O O O,2
好的，我觉得买基金还是心态要稳吧,O O O O O O O B-PRODUCT I-PRODUCT O O O O O B-COMMENTS_ADJ O,2
大山白不好推，要么硬资质或者砖达标，以前砖达标不是难事现在已经没啥砖了，或者额度达到8万申请二卡就...,B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O,0
我当时没注意，可能没有吧，网申有，曲线可以走网申无卡通道时提交上，到时候人工审核有帮助吧。,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2
问题我是申首卡，有预审，网申吧，都说超柜更稳，但是又担心不能传车本（提高成功率）,O O O O O B-PRODUCT I-PRODUCT O O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2
个人觉得车本对于成功率来说没什么作用，倒是对于下卡额度有可能有帮助。担心成功率的话超柜更稳点，担心额度不够高的话网申吧。...,O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O O O O O O O O O,2
4行不多，征信没问题的话下卡不难，就是额度多少的事。要是有菜卡建议消了后等同步征信后再申请，不然菜卡会拉低下卡的额度。对额度有要求的话建议消菜卡，只是单纯下卡...,O O O O O B-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2
lz预审批有多少啊，我参考下多少能下5.6万,O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2
你刷出了多少预审批再申的,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O,2
我想问下，小网贷多有办法申卡吗？征信上还有10笔网贷，额度都不大一起不到1万,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2
感谢楼主的详细教程，现在明确了具体方案，半年后再战建行,O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK,2
这个我就不清楚了，我没这方面经验。我做的这些准备都是根据坛子里老哥们的经验分享结合自己实际情况做的，有网贷如果征信上能查到，最少算减分项，这种情况还好，就怕建...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ O O O O,2
明确方案只是开始，老哥还要执行自己定下的方案，按照方案来，重要的是忍住手不申卡，坛子里特别是一些放水的帖子慎重对待。提前祝老哥半年后顺利...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
【平安】90K【广发】190K【招商】50K,O B-BANK I-BANK O O O O O B-BANK I-BANK O O O O O O B-BANK I-BANK O O O O,2
请问楼主二申的时候也是通过超柜吗？你是怎么让人工给你审核的？这个还可以自己选或者要求吗？,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O,2
不错不错提额方面有什么心得体会吗想学习一下,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O,1
建设我的没提过、我帖子里的调整的图是二卡激活后再激活首卡，然后首卡调平额度的图。另外根据我妈的建设的卡来说，每期刷10笔左右就好，一般刷50%额度每期，临时不用，...,B-BANK I-BANK O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O,2
楼主怎么出的预审批？买的基金多少啊？这4个月预审批就是一直是1W吗？,O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2
恭喜，慢慢养卡。,B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT O,1
建议别激活，激活就代表你认可额度了。建议申2卡，如果你行不多另外短期没有申请其它银行的情况下。记得走无卡通道，就是补充完整资料那个。。...,O O O B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
刚拿到卡之后我看预审批更新了，想曲线芭比白，昂被拒了。。。,O O O B-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O,2
你可以说一下有哪些行的卡，额度是多少，然后销掉一些，最后去建行网点重新办理一张信用卡。,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-BANK I-BANK O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O,2
除了申请大白卡，小建基本没有靠申卡曲线提额的可能。,O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O O O O,2
比较低的就是中行农行1w建行8k光大好像才2w多还有一张地方银行的etc2.7w招行6.3民生邮储5w中信5.8浦发工行平安都在3w以上...,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-BANK I-BANK B-BANK I-BANK O O B-BANK I-BANK O O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O B-BANK I-BANK O O O O B-BANK I-BANK O O O B-BANK I-BANK B-BANK I-BANK B-BANK I-BANK O O O O O O O O O,2
我大概有8到10行卡，我怕卖了。?,O O O O O O O O O B-PRODUCT O O B-COMMENTS_ADJ O O O O,2
补刷，三个月后打电话提量，亲测有效，浦发的哦,O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O,2
银行没告诉你?办信用卡现在越来越难了,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_ADJ O,2
没告诉你？我买的基金就靠我强大的内心,O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O,2
听说是购房合同，产权证，身份证，建行卡,O O O O O O O O O O O O O O O O B-BANK I-BANK B-PRODUCT,2
工商◆2W,B-BANK I-BANK O O O,2
装修贷还需要现场察看的,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O,2
我进系统秒拒，显示综合评分不足，估计是信用卡使用率高，总负债很低,O O O O O B-COMMENTS_ADJ O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ,2
感觉小建有点严,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ,2
一般人过不了，像工行这种要求本来就高,O O O O O O O O B-BANK I-BANK O O O O O O O B-COMMENTS_ADJ,2
首先你得有房子，然后你得装修，在家拍照，才能申请装修贷,O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2
赶紧还了呗，还能怎么办，不然征信会有问题的,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2
额度是三万吗目前,B-COMMENTS_N I-COMMENTS_N O O O O O O,2
你信用卡额度多少，我想要装修和车的额度,O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
起码证明资质过关??7期账单日后点吧??大概率提,O O O O O O O O O O O O O O O O O O O O O O O O,2
那只有那个装修预审批对的上啊平时都是购车和装修是固定额度的6倍，分期通是3倍，不知道你这咋给的,O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O,2
还在审核，工3w招也是,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2
上个月刚申了4行，有房有车，额度应该还可以吧,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2
同等级二卡三卡应该都是秒批才对！除非你之前不是白金卡。我上个星期刚申请第三卡还是秒批啊,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
之前是金卡，可能,O O O B-PRODUCT I-PRODUCT O O O,2
那也有3万多。就怕下菜卡,O O O O O O O O B-COMMENTS_ADJ O B-PRODUCT I-PRODUCT,2
14年质押10k首卡建行8k(已销卡),O O O B-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT B-BANK I-BANK O O O O B-COMMENTS_N I-COMMENTS_N O,2
我一般半年不上菜卡，菜卡额度都低,O O O O O O O B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O,2
买非货币基金,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT,2
被劫持了，和建行没关系,O O O O O O B-BANK I-BANK O O O,2
兄弟怎么知道的？高的我好慌,O O O O O O O O O O O O B-COMMENTS_ADJ,2
被劫持了，和建行无关,O O O O O O B-BANK I-BANK O O,2
数一数，看下我有多少信用卡,O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2
建行生活也不错,B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,1
虽然两年没有提到平安1W额度，但是加油只是需要羊毛,O O O O O O O O B-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O,2
有分期。想全额还款。,O B-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O,2
显示负片吗？应该不会显示吧，共享额度,O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
Cut卡为什么！我们农行是三级卡！太过分了！切两个！如果现在不影响，可以取消存款卡??,O O O O O O O O O O B-BANK I-BANK O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O,0
和你放钱没关系，额度看消费,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2
好吧，那真的很奇怪，刚放钱就审批，不放就一直是正在审批中，也是很无语,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,0
上海银行20K-23K-28K-32K-39K,B-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O O O O O O O,2
如果我没看错的话你这是二卡吧，是共享的额度么,O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
平安好车主60K|中国赞卡金50K,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-PRODUCT I-PRODUCT O O O O,2
什么资质？申请的什么卡种，建行的龙卡,O O O O O O O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT,2
就交了行驶证，我其他家银行卡额度也很高，征信比较好，没有什么乱七八糟的贷款,O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT,2
四大行基本都看砖,O O O O O O O O,2
首卡能看到额度？,B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O,2
和你资质有关，比如公积金，打卡工资，其他类的贷款等。刚放钱连日均都没有，不会有参考价值。如果能这样，论坛好多人都这样干了，但银行也不是傻子。...,O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O,2
平安旅游白：72000,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O,2
不会吧，你这是二卡吧，我12号申请首卡秒批，收到卡才知道额度，之前各种查不到。,O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2
冲个鬼，我二卡都没有秒下，估计进人工了,O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O,2
同五星用户，申金卡被拒了,O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ O,2
为什么？征信问题吗,O O O O B-PRODUCT I-PRODUCT O O O,2
看不到额度，刚才打客服电话问了说要拿到卡面签才知道，搞不懂,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-PRODUCT O O O O O O O O O,2
